source_id,tier,loai_nguon,tieu_de,to_chuc_phat_hanh,url,ngay_xuat_ban,ngay_truy_cap,ngon_ngu,do_tin_cay(1-5),pham_vi_dung,ghi_chu,trang_thai
S-T2-005,T2,Hướng dẫn chuẩn,GIPS Standards — trang chủ tổ chức,CFA Institute / GIPS,https://www.gipsstandards.org,2020-01-01,2026-08-15,en,3,Nhóm Đo lường hiệu quả: time-weighted return / composite,TRANG CHỦ — title 'Homepage - GIPS' xác nhận; nội dung cụ thể cần đăng nhập. Đây là địa chỉ tổ chức. 5 từ đầu: Welcome to GIPS Standards.,CHƯA KHAI THÁC
S-T3-002,T3,Tài liệu vendor,BlackRock Aladdin — trang sản phẩm,BlackRock,https://www.blackrock.com/aladdin,2024-01-01,2026-08-15,en,4,Nhóm Rủi ro: risk analytics / factor model / stress test,KHỚP — title 'Aladdin® by BlackRock | Aladdin'. 5 từ đầu meta: portfolio management software investment professionals.,CHƯA KHAI THÁC
S-T3-003,T3,Trang vendor,InvestCloud — trang chủ,InvestCloud,https://www.investcloud.com,2024-01-01,2026-08-15,en,2,Nhóm FO/MO — tham khảo vendor bổ sung,TRANG CHỦ — mở được. Chưa trích dẫn nội dung cụ thể từ trang này.,CHƯA KHAI THÁC
S-T3-006,T3,Dữ liệu thị trường,VSDC — trang chủ tổ chức,Tổng công ty Lưu ký và Bù trừ CK Việt Nam (VSDC),https://vsd.vn,2024-01-01,2026-08-15,vi,3,Số lượng tài khoản CCQ — cần tìm báo cáo cụ thể trong trang,KHỚP TÊN TỔ CHỨC — title 'Tổng công ty Lưu ký và Bù trừ chứng khoán Việt Nam'. Chưa có link báo cáo cụ thể.,CHƯA KHAI THÁC
S-T3-010,T3,Trang vendor,SimCorp — trang chủ,SimCorp,https://www.simcorp.com/en,2024-01-01,2026-08-15,en,2,Hệ thống vendor — tham khảo,TRANG CHỦ — title 'Welcome to SimCorp'. URL sản phẩm cụ thể /simcorp-dimension → 404. Chưa có nội dung chi tiết.,CHƯA KHAI THÁC
S-TT98-001,T1,Văn bản pháp luật,Thông tư 98/2020/TT-BTC — Hướng dẫn hoạt động và quản lý quỹ đầu tư chứng khoán,Bộ Tài chính,https://thuvienphapluat.vn/van-ban/chung-khoan/Thong-tu-98-2020-TT-BTC-hoat-dong-va-quan-ly-quy-dau-tu-chung-khoan-461197.aspx,2020-11-05,2026-08-14,vi,5,Khối Back Office — NAV & Fund Accounting: nghĩa vụ pháp lý định giá / kế toán / báo cáo / giám sát,930729 ký tự sau strip HTML; 7/7 cụm từ nghiệp vụ kiểm tra ĐỀU CÓ. File: thuvienphapluat-TT98-2020-461197.md,ĐANG DÙNG
S-TT98-002,T1,Văn bản pháp luật,Thông tư 98/2020/TT-BTC — bản luatminhkhue (HTML entity chưa decode),Bộ Tài chính — nguồn luatminhkhue.vn,https://luatminhkhue.vn,2020-11-05,2026-08-14,vi,1,KHÔNG DÙNG — HTML entity chưa decode,5/7 cụm từ KHÔNG tìm được trong plain text. HTML entity raw. Ghi FETCH_LOG 15/08/2026: Không dùng.,"KHÔNG DÙNG ĐƯỢC — HTML entity chưa decode, không đọc được"
S-BVFED-001,T2,Bản cáo bạch,Bản cáo bạch Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (BVFED) — tháng 11/2018,Công ty TNHH Quản lý Quỹ Bảo Việt (BVF),https://img.baovietfund.com.vn/resource/10122018/1544456984_bancaobachquybvfedsuadoithang11.2018.pdf,2018-11-01,2026-08-15,vi,5,Khối Back Office — NAV & Fund Accounting: quy trình định giá / giao dịch CCQ / kế toán,75 trang; 152846 ký tự text thuần. Đọc được toàn văn. Quỹ BVFED — Quỹ mở không phải ETF. File: baovietfund-bvfed-ban-cao-bach-2018-11.pdf,ĐANG DÙNG
S-E1VFV-001,T2,Bản cáo bạch,Bản cáo bạch E1VFVN30 (nghi vấn) — bản scan tháng 1/2023,VFM hoặc tổ chức liên quan (không xác nhận được),https://static2.vietstock.vn/vietstock/2023/1/18/20230118_20230118___e1vfvn30___ban_cao_bach_cap_nhat_thang_1_2023.pdf,2023-01-18,2026-08-15,vi,0,KHÔNG DÙNG — bản scan 0 ký tự text,57 trang; Creator: RICOH IM C2500 (máy photocopy). Toàn bộ là ảnh. 0 ký tự text. Không xác định được quỹ từ nội dung.,"KHÔNG DÙNG ĐƯỢC — PDF scan, 0 ký tự text"
S-VCAM-001,T2,Tin tuyển dụng thật,JD Kế toán Quỹ — VCAM (Viet Capital Asset Management),Công ty Quản lý Quỹ Bản Việt (VCAM),https://vietcapital.com.vn/careers/ke-toan-quy,2026-08-15,2026-08-15,vi,4,Khối Back Office — NAV & Fund Accounting: role Kế toán Quỹ,Trang tuyển dụng thật của VCAM. Mô tả 6 nhiệm vụ cụ thể. File: vietcapital-jd-ke-toan-quy.md,ĐANG DÙNG
S-VCAM-002,T2,Tin tuyển dụng thật,JD Chuyên viên Phân tích Đầu tư (Analyst Officer — Fund) — VCAM,Công ty Quản lý Quỹ Bản Việt (VCAM),https://vietcapital.com.vn/careers/analyst-officer,2026-08-15,2026-08-15,vi,4,Khối Back Office / FO — vai trò vận hành quỹ phía nhân viên phân tích,Trang tuyển dụng thật của VCAM. Mô tả vai trò hỗ trợ giám đốc quỹ trong vận hành và giao dịch. File: vietcapital-jd-analyst-officer-fund.md,ĐANG DÙNG
S-VCAM-003,T2,Tin tuyển dụng thật,JD Kế toán Quỹ Cấp cao (Senior Fund Accounting Officer) — VCAM,Công ty Quản lý Quỹ Bản Việt (VCAM),https://vietcapital.com.vn/careers/senior-fund-accounting-officer,2026-08-15,2026-08-15,vi,3,Khối Back Office — NAV & Fund Accounting: role Senior Fund Accounting,Trang tuyển dụng thật của VCAM nhưng OG description mô tả vai trò khác (deal structuring). Cần đọc kỹ hơn để xác nhận nội dung.,KHÔNG DÙNG ĐƯỢC — JD không load được phần mô tả công việc
S-VJ-001,T3,Mẫu JD tổng hợp,Fund Accountant Job Description — VelvetJobs (template),VelvetJobs,https://www.velvetjobs.com/job-descriptions/fund-accountant,2024-01-01,2026-08-15,en,2,Khối Back Office — tham khảo mẫu JD quốc tế fund accountant,Mẫu JD tổng hợp — không phải tin tuyển dụng thật. Chứa sample responsibilities thực tế. File: velvetjobs-jd-fund-accountant.md,ĐANG DÙNG
S-VJ-002,T3,Mẫu JD tổng hợp,Accountant Fund Accountant Job Description — VelvetJobs (template),VelvetJobs,https://www.velvetjobs.com/job-descriptions/accountant-fund-accountant,2024-01-01,2026-08-15,en,2,Khối Back Office — tham khảo mẫu JD quốc tế fund accountant (cấp cao hơn),Mẫu JD tổng hợp — không phải tin tuyển dụng thật. File: velvetjobs-jd-accountant-fund-accountant.md,CHƯA KHAI THÁC
S-JOBED-001,T3,Mẫu JD tổng hợp,Fund Accountant Job Description — Jobed.ai,Jobed.ai,https://www.jobed.ai/fund-accountant,2024-01-01,2026-08-15,en,2,Khối Back Office — tham khảo mẫu JD quốc tế fund accountant,Mẫu JD tổng hợp — không phải tin tuyển dụng thật. Ngắn (4.3KB) nhưng có danh sách responsibilities cụ thể. File: jobed-ai-jd-fund-accountant.md,ĐANG DÙNG
S-VENDOR-001,T3,Tài liệu vendor,Broadridge Asset Management — trang sản phẩm,Broadridge Financial Solutions,https://www.broadridge.com/financial-services/asset-management,2024-01-01,2026-08-15,en,2,Tham khảo hệ thống vendor — tên hệ thống,Chỉ 2711 ký tự sau strip. Marketing copy ngắn. Không có mô tả công việc cụ thể. File: broadridge-asset-management.md,CHƯA KHAI THÁC
S-VENDOR-002,T3,Tài liệu vendor,Clearwater Analytics — Investment Accounting and Reporting Platform,Clearwater Analytics,https://www.clearwater-analytics.com,2024-01-01,2026-08-15,en,2,Tham khảo hệ thống vendor — tên hệ thống,43186 ký tự nhưng phần lớn là CSS/JS. Phần nội dung thực là marketing về platform. File: clearwater-investment-accounting-reporting.md,CHƯA KHAI THÁC
S-VENDOR-003,T3,Tài liệu vendor,Enfusion Solutions — trang sản phẩm,Enfusion,https://www.enfusion.com,2024-01-01,2026-08-15,en,2,Tham khảo hệ thống vendor — tên hệ thống,44906 ký tự nhưng phần lớn là CSS/JS. Marketing copy. File: enfusion-solutions-listing.md,CHƯA KHAI THÁC
S-VENDOR-004,T3,Tài liệu vendor,SS&C Technologies — Asset Management Industry page,SS&C Technologies (GlobeOp / Geneva),https://www.ssctech.com/industries/asset-management,2024-01-01,2026-08-15,en,2,Tham khảo hệ thống vendor (GlobeOp; Geneva),14275 ký tự; có đề cập Fund Accounting / GlobeOp / Geneva theo tên. File: ssc-asset-management-industry.md,CHƯA KHAI THÁC
S-VENDOR-005,T3,Tài liệu vendor,SS&C Technologies — Fund Administration page,SS&C Technologies (GlobeOp),https://www.ssctech.com/solutions/fund-administration,2024-01-01,2026-08-15,en,2,Tham khảo hệ thống vendor (GlobeOp / fund administration),18713 ký tự; có đề cập Fund Accounting / NAV / reconciliation / GlobeOp theo tên. File: ssc-fund-administration-page.md,CHƯA KHAI THÁC
S-ENF-001,T1,Quyết định xử phạt UBCKNN,Xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và TTCK đối với CTCP Quản lý quỹ Đầu tư MB,UBCKNN,https://kinhtetieudung.vn/xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-chung-khoan-va-ttck-doi-voi-ctcp-quan-ly-quy-dau-tu-mb-a19380.html,2025-01-22,2026-08-15,vi,5,Tỷ lệ đầu tư danh mục,Xử phạt vi phạm hành chính,ĐANG DÙNG
S-ENF-002,T1,Quyết định xử phạt UBCKNN,Xử phạt vi phạm hành chính 2 công ty quản lý quỹ,UBCKNN,https://thitruongtaichinhtiente.vn/xu-phat-vi-pham-hanh-chinh-2-cong-ty-quan-ly-quy-42818.html,2022-10-24,2026-08-15,vi,5,Báo cáo định kỳ và quy trình,Xử phạt vi phạm hành chính,ĐANG DÙNG
S-VSD-001,T1,Quy chế VSDC,Quyết định 39/QĐ-HĐTV ban hành Quy chế hoạt động bù trừ và thanh toán giao dịch chứng khoán,VSDC,https://vbma.org.vn/storage/legal-documents/May2025/Quy%E1%BA%BFt%20%C4%91%E1%BB%8Bnh%2039.Q%C4%90-H%C4%90TV1.pdf,2025-04-29,2026-08-16,vi,5,Nghiệp vụ thanh toán bù trừ,63819 ký tự; quy định cốt lõi khối Settlement,ĐANG DÙNG
S-VSD-002,T1,Quy chế VSDC,Quyết định 34/QĐ-HĐTV ban hành Quy chế hoạt động lưu ký chứng khoán tại VSDC,VSDC,https://vsd.vn/vi/sd/rft7xrkuPfGyGNk-dm6arA,2025-04-29,2026-08-17,vi,5,"Nghiệp vụ lưu ký: ký gửi, rút, chuyển khoản chứng khoán không qua giao dịch","13823 ký tự sau strip HTML. Căn cứ pháp lý cho T-BO-041/042/043 — trước 17/08/2026 3 dòng này có source_ids rỗng dù raw_ref đã trỏ đúng file. File: vsd-luu-ky-chung-khoan.html. Số quyết định 34 khác 39 (S-VSD-001) — đã đối chiếu trực tiếp trong raw HTML, không phải lỗi đánh máy.",ĐANG DÙNG
S-JD-001,T2,Mô tả công việc (JD),JD Chuyên viên Vận hành quỹ (HDCapital),HDCapital,https://hdcap.vn/tuyen-dung/chuyen-vien-van-hanh-quy/,2026-01-01,2026-08-16,vi,4,Mô tả công việc vận hành,JD thật; đối chiếu NAV và thanh toán,ĐANG DÙNG
S-JD-002,T2,Mô tả công việc (JD),JD Chuyên viên Hỗ trợ Vận hành (Amber Capital),Amber Capital,https://ambercapital.vn/tuyen-dung-chuyen-vien-ho-tro-van-hanh/,2026-01-01,2026-08-16,vi,4,Mô tả công việc hỗ trợ vận hành,JD thật; thực hiện rút/gửi tiền và chuyển nhượng,ĐANG DÙNG
S-ENF-003,T1,Xử phạt thành viên lưu ký,VSD cảnh cáo 4 công ty chứng khoán,VSDC / tinnhanhchungkhoan,https://www.tinnhanhchungkhoan.vn/vsd-canh-cao-4-cong-ty-chung-khoan-post91052.html,2022-01-01,2026-08-16,vi,5,Xử phạt vi phạm xác nhận lưu ký,Cảnh cáo do chậm xác nhận danh sách,ĐANG DÙNG
S-REG-001,T1,Văn bản pháp luật,Thông tư 98/2020/TT-BTC hướng dẫn hoạt động và quản lý quỹ đầu tư chứng khoán,Bộ Tài chính,https://hethongphapluat.com/thong-tu-98-2020-tt-btc-huong-dan-ve-hoat-dong-va-quan-ly-quy-dau-tu-chung-khoan.html,2020-11-16,2026-08-16,vi,5,"Quy định về lập sổ đăng ký, nhận lệnh, phân phối",File: thuvienphapluat-TT98-2020-461197.md,ĐANG DÙNG
S-REG-002,T1,Văn bản pháp luật,Luật Phòng chống rửa tiền 2022,Quốc hội,https://luatvietnam.vn/tai-chinh/luat-phong-chong-rua-tien-2022-234273-d1.html,2022-11-15,2026-08-16,vi,5,"Quy định về KYC, báo cáo rủi ro AML",File: luatvietnam-luat-pcrt-2022.md,ĐANG DÙNG
S-ENF-004,T1,Cảnh báo/Hỏi đáp,"Hỏi/đáp xử phạt vi phạm phòng, chống rửa tiền CK",UBCKNN,https://ssc.gov.vn/webcenter/portal/ubck/pages_r/l/chitit?dDocName=APPSSCGOVVN1620147338,2024-07-24,2026-08-16,vi,5,Quy định xử phạt nếu không rà soát cảnh báo,File: ssc-news-xu-phat-am-2025.md,ĐANG DÙNG
S-ENF-005,T1,Báo chí xử phạt,Quản lý quỹ Amber bị xử phạt hơn 400 triệu đồng,Thời báo Tài chính VN,https://thoibaotaichinhvietnam.vn/quan-ly-quy-amber-bi-xu-phat-hon-400-trieu-dong-do-co-nhieu-vi-pham-trong-linh-vuc-chung-khoan-187796.html,2025-11-01,2026-08-16,vi,5,Xử phạt do không nộp báo cáo AML,"File: ambercapital-news-xu-phat-am-2025.md. CÙNG URL với S-ENF-006 (bản fetch riêng từ file raw khác) — không phải lỗi trùng lặp, giữ cả hai vì nhiều dòng task/UC đã tham chiếu riêng biệt.",ĐANG DÙNG
S-REG-QD428,T1,Quy định pháp lý,Quyết định 428/QĐ-UBCK 2013 hướng dẫn thiết lập hệ thống quản trị rủi ro,Ủy ban Chứng khoán Nhà nước,https://luatvietnam.vn/dau-tu/quyet-dinh-428-qd-ubck-uy-ban-chung-khoan-nha-nuoc-225841-d1.html,2013-07-11,2026-08-16,vi,5,Quản trị rủi ro công ty quản lý quỹ,,ĐANG DÙNG
S-ENF-006,T1,Báo chí xử phạt,Thời báo Tài chính Việt Nam xử phạt Amber/Thành Công,Thời báo Tài chính VN,https://thoibaotaichinhvietnam.vn/quan-ly-quy-amber-bi-xu-phat-hon-400-trieu-dong-do-co-nhieu-vi-pham-trong-linh-vuc-chung-khoan-187796.html,2025-11-01,2026-08-16,vi,5,Xử phạt Amber và Thành Công,"File: thoibaotaichinhvietnam-xu-phat.md. CÙNG URL với S-ENF-005 (bản fetch riêng từ file raw khác) — không phải lỗi trùng lặp, giữ cả hai vì nhiều dòng task/UC đã tham chiếu riêng biệt.",ĐANG DÙNG
S-ENF-007,T1,Quyết định xử phạt UBCKNN,Kết luận thanh tra tại Công ty Cổ phần Quản lý quỹ đầu tư MB,Thanh tra Chính phủ,https://thanhtra.com.vn/ket-luan-thanh-tra-E17BD7A25/ket-luan-thanh-tra-tai-cong-ty-co-phan-quan-ly-quy-dau-tu-mb-44d731b81.html,2025-01-22,2026-08-16,vi,5,Kết luận thanh tra MB Capital,File: thanhtra-mb-capital-xu-phat-120kl.md,ĐANG DÙNG
S-REG-003,T1,Văn bản pháp luật,Thông tư 99/2020/TT-BTC hướng dẫn hoạt động của công ty quản lý quỹ đầu tư chứng khoán,Bộ Tài chính,https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Thong-tu-99-2020-TT-BTC-huong-dan-hoat-dong-cua-cong-ty-quan-ly-quy-dau-tu-chung-khoan-461198.aspx,2020-11-16,2026-08-16,vi,5,Quy định rủi ro TT99,File: thuvienphapluat-TT99-2020.md,ĐANG DÙNG
