task_id,mo_ta_ngan,khoi_chuc_nang,ly_do_reject
T-BO-003,Tính giá trị tiền gửi kỳ hạn bằng vốn gốc cộng lãi dự thu,NAV & Fund Accounting,"Nghiệp vụ toán học đơn giản (cộng/nhân), có công thức rõ ràng, chỉ cần RPA/Code, không cần năng lực suy luận của AI."
T-BO-004,Tính toán NAV,NAV & Fund Accounting,"Phép tính cộng trừ nhân chia tổng tài sản và nợ, hoàn toàn không cần AI."
T-BO-005,Gửi kết quả cho ngân hàng giám sát,NAV & Fund Accounting,"Quy trình gửi email/workflow thông thường, gửi file đính kèm, không cần AI."
T-BO-006,Đăng NAV lên trang web,NAV & Fund Accounting,"RPA tự động đẩy file lên portal hoặc API, không cần mô hình ngôn ngữ/thị giác."
T-BO-008,Tính số lượng CCQ phân bổ,NAV & Fund Accounting,"Tính toán chia số tiền cho NAV, quy tắc làm tròn cứng, không cần AI."
T-BO-009,Kiểm tra CCQ đủ trên tài khoản để bán,NAV & Fund Accounting,Lệnh IF đơn giản so sánh số dư tài khoản và số lượng bán.
T-BO-010,Chuyển khoản trừ phí thuế,NAV & Fund Accounting,"Giao tiếp với API ngân hàng/core để khấu trừ, không cần suy luận AI."
T-BO-011,"Chốt danh sách nhà đầu tư, chia cổ tức",NAV & Fund Accounting,"Logic lọc SQL/Excel và phép nhân theo tỷ lệ sở hữu, không cần AI."
T-BO-012,Tính phí quản lý 1%/năm,NAV & Fund Accounting,"Chỉ là phép nhân tỷ lệ với NAV, không cần suy luận."
T-BO-017,Thực hiện tính NAV theo đúng quy định TT98,NAV & Fund Accounting,"Toán học tính NAV tuân thủ đúng công thức luật, không được suy luận khác, không cần AI."
T-BO-018,"Kiểm soát thời gian nhận lệnh, hủy lệnh",NAV & Fund Accounting,Rule-based RPA: Hủy lệnh nếu thời gian > 14:45. Không AI.
T-BO-025,Thực hiện công việc vận hành hàng ngày theo phân công,NAV & Fund Accounting,"Mô tả quá chung chung (catch-all task), không thể xác định cụ thể AI làm gì."
T-BO-027,Nhập bút toán điều chỉnh cuối tháng,NAV & Fund Accounting,"Tính năng accounting thuần túy, định khoản cố định, ERP đã có sẵn automation."
T-BO-029,"Thu thập giá tài sản, áp dụng định giá",NAV & Fund Accounting,Đã tạo Use case ở T-BO-001. Trùng lặp ngữ nghĩa do lấy từ JD khác.
T-BO-033,Xác nhận có đủ tiền/chứng khoán thanh toán,Reconciliation & Settlement,Lệnh IF so sánh đơn giản giữa Tổng tiền phải trả và Số dư hiện có. Không cần AI.
T-BO-035,Thực hiện vay chứng khoán trên VSDC,Reconciliation & Settlement,"Quy trình thủ tục hành chính, nộp form lên hệ thống VSDC, RPA là đủ."
T-BO-036,Phối hợp VSDC lùi/loại bỏ giao dịch,Reconciliation & Settlement,"Quy trình ngoại lệ yêu cầu con người gọi điện/gửi văn bản làm việc trực tiếp, AI không can thiệp được."
T-BO-037,Phân bổ tiền và chứng khoán về tài khoản khách hàng,Reconciliation & Settlement,Core chứng khoán tự động hạch toán chia tiền/chứng khoán sau khi nhận từ VSDC. Không cần AI.
T-BO-039,Quản lý thanh khoản chứng chỉ tiền gửi tại NH,Reconciliation & Settlement,"Nghiệp vụ trading tiền tệ đơn giản, thực hiện theo chỉ đạo, ít tác vụ lặp tốn thời gian cho AI."
T-BO-041,Nhận ký gửi và bảo quản chứng khoán,Reconciliation & Settlement,"Thao tác trên Core/VSDC system, nhập liệu mã và số lượng, không có tính chất suy luận."
T-BO-042,Rút chứng khoán khỏi hệ thống,Reconciliation & Settlement,Thao tác trên Core/VSDC system.
