uc_id,task_id,khoi_chuc_nang,ten_use_case,nang_luc_ai,ai_type,van_de_kinh_doanh,quy_trinh_hien_tai_theo_buoc,ai_lam_gi_o_buoc_nao,human_in_the_loop,du_lieu_can_co,rang_buoc_phap_ly,kpi_cai_thien,muc_do,source_ids,raw_ref,ghi_chu_thieu,co_pain_point_that,diem_gia_tri,diem_kha_thi,diem_du_lieu,diem_rui_ro,tong_diem,ro,ly_do_cham
UC-001,T-BO-001,NAV & Fund Accounting,AI tự động thu thập và chuẩn hóa giá chứng khoán,1-Trích xuất & phân loại,RPA + AI,[INFERENCE] Thu thập giá chứng khoán từ nhiều sàn mất nhiều thời gian nhập liệu và dễ sai sót nếu làm thủ công.,1. Truy cập HOSE/HNX. 2. Tìm giá đóng cửa mã CK. 3. Copy/paste vào file định giá. 4. Kiểm tra.,"Bước 2 & 3: AI trích xuất đúng mã và giá từ nguồn, tự điền vào bảng tính.",Chuyên viên đối chiếu lại 1 số mã ngẫu nhiên trước khi duyệt.,Dữ liệu bảng giá HOSE/HNX,TT98/2020,Thời gian cập nhật dữ liệu giá,CATALOGUE,S-BVFED-001,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Thiếu thời lượng hiện tại và định dạng file bảng giá gốc.,N,4,5,5,2,4.20,Quick win,"Lấy giá đóng cửa HOSE/HNX phải làm hàng ngày, sai sót ảnh hưởng trực tiếp NAV | Cấu trúc website bảng giá cố định, dễ dàng dùng RPA/Crawler trích xuất không cần train model | Dữ liệu public trên sàn chứng khoán, dễ dàng lấy bằng API | Sai sót dẫn đến định giá sai chứng chỉ quỹ, ảnh hưởng quyền lợi NĐT nên rủi ro cao."
UC-002,T-BO-002,NAV & Fund Accounting,AI dự báo và nội suy đường cong lãi suất VBMA,5-Dự báo & định lượng,AI Agent,[INFERENCE] Việc tải dữ liệu và chạy model nội suy đường cong lãi suất kỳ hạn lẻ khá phức tạp và mất thời gian.,1. Tải dữ liệu VBMA. 2. Chọn mô hình nội suy. 3. Nội suy lãi suất. 4. Áp dụng định giá.,Bước 2 & 3: AI phân tích xu hướng và áp dụng mô hình để nội suy chính xác đường cong lợi suất.,Chuyên viên kiểm tra đồ thị nội suy trước khi xác nhận.,Dữ liệu giao dịch trái phiếu VBMA,TT98/2020,Mức độ chính xác của đường cong lợi suất nội suy,CATALOGUE,S-BVFED-001,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Thiếu thông tin công cụ nội suy hiện tại (Excel hay Bloomberg).,N,4,2,3,2,2.95,Nghiên cứu,"Tác vụ định giá trái phiếu hàng ngày theo TT98, tiết kiệm thời gian nội suy | Yêu cầu mô hình định lượng phức tạp (ví dụ cubic spline) thay vì chỉ đọc văn bản | Dữ liệu VBMA thường yêu cầu tài khoản trả phí để lấy API/File chuẩn | Định giá sai tài sản quỹ ảnh hưởng NAV báo cáo giám sát."
UC-003,T-BO-007,NAV & Fund Accounting,AI nhận diện và bóc tách phiếu lệnh giao dịch CCQ,1-Trích xuất & phân loại,AI Copilot,Phải ghi nhận đầy đủ; chính xác; kịp thời; rõ ràng về thời điểm nhận lệnh — lệnh sau 14h45 bị hủy.,"1. Nhận phiếu lệnh (giấy/PDF). 2. Đọc thông tin NĐT, số tiền, loại lệnh. 3. Kiểm tra giờ. 4. Nhập hệ thống.","Bước 2: AI tự động đọc OCR phiếu lệnh, bóc tách thông tin định danh và số tiền vào form.",Nhân viên kiểm tra lại các trường thông tin bị AI cảnh báo độ tin cậy thấp.,Phiếu lệnh giao dịch bản scan/PDF,TT98/2020,Thời gian xử lý 1 phiếu lệnh,CATALOGUE,S-BVFED-001,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Thiếu cấu trúc phiếu lệnh thực tế và số lượng lệnh mỗi ngày.,Y,5,4,4,3,4.20,Quick win,"Xử lý hàng trăm lệnh mua bán CCQ trước giờ cut-off 14h45, trễ là bị hủy | Form phiếu lệnh do công ty phát hành có cấu trúc cố định, OCR template chạy rất tốt | Nguồn file scan nội bộ từ đại lý hoặc quầy dễ tiếp cận | Nhân sự vẫn phải duyệt lại lệnh trên phần mềm trước khi khớp nên rủi ro được kiểm soát."
UC-004,T-BO-013,NAV & Fund Accounting,AI số hóa Giấy đề nghị giao dịch từ nhà đầu tư,1-Trích xuất & phân loại,AI Copilot,"[INFERENCE] NĐT nộp giấy đề nghị viết tay hoặc scan mờ, nhập liệu thủ công tốn thời gian và dễ nhầm số tài khoản.","1. Nhận Giấy đề nghị. 2. Đọc thông tin NĐT, số lượng/giá trị. 3. Gõ lại vào form mở TK. 4. Gửi đại lý.","Bước 2: AI tự động nhận diện (OCR) mẫu Giấy đề nghị, bóc tách chữ ký và thông tin giao dịch.",Nhân viên kiểm tra và xác nhận các trường OCR trước khi submit.,File scan Giấy đề nghị giao dịch,TT98/2020,Thời gian xử lý giấy tờ,CATALOGUE,S-BVFED-001,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Chưa rõ tỷ lệ nhận giấy trực tiếp so với giao dịch online.,N,4,4,4,3,3.85,Quick win,"Nhập liệu thủ công Giấy đề nghị giao dịch dễ sai số tài khoản NĐT | Form đề nghị cố định, công nghệ OCR dễ dàng trích xuất text in | File scan lưu sẵn trên hệ thống văn thư nội bộ | Lỗi số tài khoản có thể gây chuyển nhầm tiền nhưng có bước check tên khớp số TK."
UC-005,T-BO-014,NAV & Fund Accounting,AI tạo thông báo kết quả giao dịch cá nhân hóa,4-Sinh nội dung,AI Copilot,[INFERENCE] Việc soạn thảo hàng loạt email thông báo cho NĐT cần cá nhân hóa và giải thích biến động thị trường nếu cần.,1. Lấy kết quả khớp lệnh. 2. Soạn thông báo. 3. Gửi email/SMS.,"Bước 2: AI dùng template và số liệu để sinh nội dung email cá nhân hóa, thân thiện, giải thích bối cảnh nếu có yêu cầu.",Tự động gửi hoặc giám sát ngẫu nhiên.,"Kết quả giao dịch, dữ liệu định danh NĐT",TT98/2020,Sự hài lòng của nhà đầu tư,CATALOGUE,S-BVFED-001,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf,Thiếu sample email template.,N,2,5,4,4,3.55,Chiến lược,"Việc gửi thông báo khớp lệnh có thể tự động hóa bằng mail merge thông thường, ít cần AI sâu | LLM sinh text từ biến dữ liệu (tên, số tiền) cực kỳ đơn giản | Dữ liệu giao dịch khớp lệnh có sẵn trên Core system | Lỗi câu từ chủ yếu ảnh hưởng trải nghiệm khách hàng, không ảnh hưởng tài chính."
UC-006,T-BO-015,NAV & Fund Accounting,AI hỗ trợ hạch toán tự động vào hệ thống kế toán,1-Trích xuất & phân loại,RPA + AI,"[INFERENCE] Giao dịch mới phát sinh có thể không theo chuẩn mực kế toán cứng, cần nhân sự phân loại tài khoản nợ/có.",1. Nhận chứng từ giao dịch. 2. Xác định tài khoản hạch toán. 3. Nhập ERP. 4. Duyệt.,Bước 2: AI phân tích ngữ cảnh chứng từ để đề xuất tài khoản hạch toán Kế toán quỹ phù hợp.,Kế toán viên duyệt đề xuất hạch toán của AI.,"Chứng từ giao dịch, hệ thống tài khoản",Chuẩn mực kế toán VN,Thời gian hạch toán / Tỷ lệ lỗi,CATALOGUE,S-REG-001,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Thiếu hệ thống tài khoản kế toán quỹ chi tiết.,N,3,4,4,2,3.35,Chiến lược,Tiết kiệm công sức kế toán phải tự nhớ mã tài khoản cho hàng trăm bút toán | Dùng thuật toán phân loại văn bản (NLP) để map diễn giải vào mã tài khoản khá khả thi | Dữ liệu lịch sử hạch toán có sẵn dồi dào trong ERP để huấn luyện | Sai mã tài khoản dẫn đến sai lệch BCTC quỹ nên cần đối soát chặt chẽ.
UC-007,T-BO-016,NAV & Fund Accounting,AI Copilot hỗ trợ soạn thảo BCTC và giải trình kiểm toán,3-Tìm kiếm/hỏi đáp (RAG),AI Copilot,"[INFERENCE] Kỳ kiểm toán yêu cầu trích xuất dữ liệu, tổng hợp thuyết minh BCTC tốn rất nhiều nguồn lực.",1. Tổng hợp số liệu. 2. Viết thuyết minh BCTC. 3. Tìm tài liệu khi kiểm toán hỏi.,Bước 2 & 3: AI tự động sinh dự thảo thuyết minh BCTC từ số liệu và giúp tìm kiếm nhanh hóa đơn/chứng từ khi được hỏi.,Kế toán trưởng kiểm duyệt toàn bộ BCTC.,"Dữ liệu kế toán, sổ cái, chứng từ",TT98/2020,Thời gian lập BCTC,CATALOGUE,S-REG-001,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Chưa rõ danh mục câu hỏi kiểm toán thường gặp.,N,3,3,2,2,2.60,Nghiên cứu,"Giảm tải áp lực tìm kiếm chứng từ giải trình vào mỗi kỳ kiểm toán quỹ | Xây dựng hệ thống RAG trên hàng ngàn file PDF scan chứng từ đòi hỏi indexing rất phức tạp | Dữ liệu hóa đơn, hợp đồng thường nằm rải rác ở nhiều thư mục, chưa chuẩn hóa | Cung cấp sai số liệu cho kiểm toán viên có thể dẫn đến rủi ro đình chỉ BCTC."
UC-008,T-BO-019,NAV & Fund Accounting,AI phát hiện bất thường trong hoạt động của đại lý chuyển nhượng,6-Phát hiện bất thường,AI Agent,[INFERENCE] Khó kiểm soát hàng ngàn giao dịch của đại lý chuyển nhượng để tìm lỗi quy trình hoặc gian lận.,1. Lấy dữ liệu ĐLCN. 2. Kiểm tra xác suất các mẫu đối chiếu. 3. Báo cáo rủi ro.,"Bước 2: AI quét 100% dữ liệu giao dịch để tìm điểm dị thường (thời gian lệnh, số lượng lệch chuẩn, tần suất).",Nhân viên tuân thủ xem xét các cảnh báo từ AI.,Log giao dịch của ĐLCN,TT98/2020,Tỷ lệ phát hiện sai sót,CATALOGUE,S-REG-001,_raw/legal/thuvienphapluat-TT98-2020-461197.md,Thiếu định dạng dữ liệu log của Đại lý chuyển nhượng.,N,4,2,2,5,3.15,Chiến lược,"Nâng cao năng lực giám sát gian lận/lỗi quy trình từ hàng ngàn lệnh giao dịch qua Đại lý | Mô hình phát hiện bất thường (Anomaly Detection) dễ báo động giả (false positive) cần tinh chỉnh nhiều | Phải tích hợp dữ liệu log từ hệ thống của bên thứ ba (Đại lý chuyển nhượng) | AI chỉ đưa ra cảnh báo cho Tuân thủ viên, không tự động chặn lệnh nên rủi ro thấp."
UC-009,T-BO-020,NAV & Fund Accounting,AI tự động tạo báo cáo định kỳ cho UBCKNN,4-Sinh nội dung,AI Agent,Chậm nộp báo cáo định kỳ (hoạt động; an toàn tài chính; quản trị rủi ro) do không có quy trình hoàn chỉnh dẫn đến bị UBCKNN xử phạt,1. Gom dữ liệu tài chính. 2. Lắp vào biểu mẫu UBCK. 3. Soạn giải trình. 4. Trình ký.,"Bước 2 & 3: AI Agent tự động kéo dữ liệu, điền form, và sinh văn bản giải trình lý do biến động rủi ro.",Giám đốc duyệt báo cáo trước khi ký số gửi UBCK.,"Dữ liệu vận hành, template báo cáo UBCK",TT98/2020,Tỷ lệ trễ hạn báo cáo,CATALOGUE,S-ENF-002,_raw/enforcement/thitruongtaichinhtiente-2-cong-ty-quan-ly-quy.md,Chưa có template mẫu báo cáo an toàn tài chính.,Y,5,4,4,2,4.05,Quick win,"Trực tiếp giải quyết nguy cơ bị phạt do nộp chậm báo cáo cho UBCKNN | Biểu mẫu UBCK có cấu trúc cố định, dùng RPA kết hợp LLM sinh giải trình rất phù hợp | Data lấy trực tiếp từ hệ thống Core Kế toán nội bộ | Nộp sai số liệu cho cơ quan quản lý sẽ chịu chế tài pháp lý nghiêm trọng."
UC-010,T-BO-021,NAV & Fund Accounting,AI trợ lý phân tích báo cáo quản trị nội bộ,2-Tóm tắt,AI Copilot,[INFERENCE] Ban giám đốc mất thời gian đọc số liệu thô để hiểu tình hình hoạt động quỹ.,1. Lấy số liệu. 2. Lập dashboard. 3. Viết nhận xét. 4. Gửi BGĐ.,"Bước 3: AI tự động tóm tắt các điểm nhấn tài chính (chênh lệch chi phí, top thu nhập) từ số liệu.",Kế toán trưởng điều chỉnh văn phong nếu cần.,Dữ liệu kế toán quản trị,Nội bộ,Thời gian lập báo cáo,CATALOGUE,S-VCAM-001,_raw/jd/vietcapital-jd-ke-toan-quy.md,Chưa rõ format báo cáo nội bộ.,N,2,4,4,5,3.45,Chiến lược,"Tác vụ phân tích quản trị tần suất thấp (theo tháng), chỉ phục vụ Ban giám đốc đọc nhanh | LLM hiện nay tóm tắt và sinh nhận xét từ bảng số liệu rất xuất sắc | Dữ liệu quản trị nội bộ đã được số hóa gọn gàng trên phần mềm | Hoàn toàn lưu hành nội bộ, không rủi ro pháp lý hay thiệt hại tài chính."
