T-BO-001 | NAV & Fund Accounting | Lấy giá đóng cửa tại ngày giao dịch gần nhất của từng cổ phiếu trong danh mục trước ngày định giá | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p72
T-BO-002 | NAV & Fund Accounting | Sử dụng lãi suất chiết khấu từ đường cong lãi suất VBMA để tính giá trái phiếu Chính phủ không giao dịch gần ngày định giá | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p72
T-BO-003 | NAV & Fund Accounting | Tính giá trị tiền gửi kỳ hạn bằng vốn gốc cộng lãi dự thu theo hợp đồng tính đến ngày trước ngày định giá | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p72
T-BO-004 | NAV & Fund Accounting | Tính toán tổng tài sản và trừ đi tổng nợ phải trả để ra NAV; sau đó chia cho tổng số CCQ đang lưu hành | PP:  | Ref: _raw/legal/thong-tu-98-2020.pdf; _raw/jd/ambercapital-ho-tro-van-hanh.html; _raw/jd/hdcap-van-hanh.html
T-BO-005 | NAV & Fund Accounting | Sau khi tính NAV nội bộ xong; gửi kết quả cho ngân hàng giám sát để xác nhận trước khi công bố | PP: Nếu bị định giá sai; ngân hàng giám sát thông báo và yêu cầu điều chỉnh trong 24 giờ | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p32; _raw/jd/ambercapital-ho-tro-van-hanh.html; _raw/jd/hdcap-van-hanh.html
T-BO-006 | NAV & Fund Accounting | Sau khi có xác nhận của ngân hàng giám sát; đăng NAV lên trang web công ty quản lý quỹ và đại lý phân phối | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p32
T-BO-007 | NAV & Fund Accounting | Xác nhận phiếu lệnh giao dịch đã điền đầy đủ và chính xác; ghi nhận đầy đủ thời điểm nhận lệnh và người nhận lệnh | PP: Phải ghi nhận đầy đủ; chính xác; kịp thời; rõ ràng về thời điểm nhận lệnh — lệnh sau 14h45 bị hủy | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p36
T-BO-008 | NAV & Fund Accounting | Dựa trên số tiền hợp lệ nhận được và giá NAV/CCQ ngày giao dịch; tính toán số lượng CCQ phân bổ cho lệnh mua | PP:  | Ref: _raw/legal/thong-tu-98-2020.pdf; _raw/jd/hdcap-van-hanh.html
T-BO-009 | NAV & Fund Accounting | Trước khi thực hiện lệnh bán; xác nhận số CCQ còn trên tài khoản nhà đầu tư đủ theo yêu cầu | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p37
T-BO-010 | NAV & Fund Accounting | Chuyển khoản vào tài khoản đã đăng ký của nhà đầu tư sau khi trừ chi phí chuyển tiền và thuế phát sinh | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p38; _raw/jd/hdcap-van-hanh.html
T-BO-011 | NAV & Fund Accounting | Chốt danh sách nhà đầu tư vào ngày chốt; tính số tiền cổ tức từng nhà đầu tư theo tỷ lệ CCQ; chuyển khoản | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p43
T-BO-012 | NAV & Fund Accounting | Tính phí = 1%/năm × NAV hàng tháng; ngân hàng giám sát trích tiền từ tài khoản quỹ chuyển cho công ty quản lý quỹ | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p42
T-BO-013 | NAV & Fund Accounting | Thu thập Giấy đề nghị đăng ký giao dịch CCQ từ nhà đầu tư; gửi đại lý chuyển nhượng mở tài khoản | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p36
T-BO-014 | NAV & Fund Accounting | Sau ngày giao dịch CCQ; đại lý phân phối gửi thông báo kết quả giao dịch bằng văn bản cho nhà đầu tư | PP:  | Ref: _raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p37
T-BO-015 | NAV & Fund Accounting | Hạch toán toàn bộ giao dịch của quỹ trong ngày vào hệ thống kế toán | PP:  | Ref: _raw/legal/thuvienphapluat-TT98-2020-461197.md
T-BO-016 | NAV & Fund Accounting | Chuẩn bị số liệu và báo cáo tài chính quỹ định kỳ; hỗ trợ kiểm toán viên trong quá trình kiểm toán | PP:  | Ref: _raw/legal/thuvienphapluat-TT98-2020-461197.md
T-BO-017 | NAV & Fund Accounting | Thực hiện tính NAV theo đúng quy định của TT98 và điều lệ quỹ; bảo đảm tuân thủ phương pháp được Ban đại diện quỹ phê duyệt | PP:  | Ref: _raw/legal/thuvienphapluat-TT98-2020-461197.md
T-BO-018 | NAV & Fund Accounting | Kiểm soát thời gian nhận lệnh; hủy tự động các lệnh đến sau thời điểm đóng sổ; đảm bảo không quá thời điểm đóng cửa Sở Giao dịch Chứng khoán | PP:  | Ref: _raw/legal/thuvienphapluat-TT98-2020-461197.md
T-BO-019 | NAV & Fund Accounting | Thực hiện rà soát định kỳ hoạt động đại lý chuyển nhượng theo các điều khoản hợp đồng đã ký | PP:  | Ref: _raw/legal/thuvienphapluat-TT98-2020-461197.md
T-BO-020 | NAV & Fund Accounting | Cập nhật báo cáo nội bộ; báo cáo gửi nhà đầu tư; và các báo cáo định kỳ theo quy định UBCKNN/BTC | PP: Chậm nộp báo cáo định kỳ (hoạt động; an toàn tài chính; quản trị rủi ro) do không có quy trình hoàn chỉnh dẫn đến bị UBCKNN xử phạt | Ref: _raw/jd/vietcapital-jd-ke-toan-quy.md; _raw/enforcement/thitruongtaichinhtiente-2-cong-ty-quan-ly-quy.md
T-BO-021 | NAV & Fund Accounting | Tổng hợp số liệu tài chính quỹ; lập báo cáo cho nhu cầu quản lý nội bộ | PP:  | Ref: _raw/jd/vietcapital-jd-ke-toan-quy.md
T-BO-022 | NAV & Fund Accounting | Tổng hợp thông tin danh mục; NAV; và hiệu suất để cập nhật báo cáo cho nhà đầu tư | PP:  | Ref: _raw/jd/vietcapital-jd-ke-toan-quy.md
T-BO-023 | NAV & Fund Accounting | Liên lạc; phối hợp và theo dõi dịch vụ từ các đối tác bên ngoài phục vụ hoạt động quỹ | PP:  | Ref: _raw/jd/vietcapital-jd-ke-toan-quy.md
T-BO-024 | NAV & Fund Accounting | Chuẩn bị các tài liệu cần thiết cho lệnh giao dịch và tái cân bằng theo chỉ đạo của giám đốc quỹ | PP:  | Ref: _raw/jd/vietcapital-jd-analyst-officer-fund.md
T-BO-025 | NAV & Fund Accounting | Thực hiện các công việc vận hành quỹ hàng ngày theo phân công từ giám đốc quỹ | PP:  | Ref: _raw/jd/vietcapital-jd-analyst-officer-fund.md
T-BO-026 | NAV & Fund Accounting | Gửi báo cáo nội bộ cho administrator; so sánh kết quả; xử lý chênh lệch | PP:  | Ref: _raw/jd/velvetjobs-jd-fund-accountant.md
T-BO-027 | NAV & Fund Accounting | Nhập các bút toán điều chỉnh cuối tháng; đối chiếu số dư; hoàn tất quy trình đóng sổ | PP:  | Ref: _raw/jd/velvetjobs-jd-fund-accountant.md
