task_id,tang,khoi_chuc_nang,quy_trinh_cap2,tac_vu_cap3,mo_ta_ngan,input,nguon_input,output,nguoi_nhan_output,role_chinh,role_phu,tan_suat,thoi_luong_uoc_tinh_phut,he_thong_dung,buoc_thu_cong,diem_gay_pain_point,rang_buoc_phap_ly,do_tin_cay(FACT/INFERENCE),source_ids,chi_tiet_ref,can_phong_van,raw_ref,loai_tac_vu
T-BO-001,Back Office,NAV & Fund Accounting,Định giá tài sản,Xác định giá đóng cửa cổ phiếu niêm yết cho danh mục quỹ trước ngày định giá,Lấy giá đóng cửa tại ngày giao dịch gần nhất của từng cổ phiếu trong danh mục trước ngày định giá,Danh mục chứng khoán của quỹ tại ngày trước ngày định giá,Sở Giao dịch Chứng khoán (HSX/HNX),Giá định giá từng cổ phiếu cho phiên tính NAV,Bộ phận kế toán quỹ / tính NAV,,,Hàng ngày (ngày định giá),,,,,TT98/2020 và Điều lệ Quỹ — nguyên tắc định giá theo giá thị trường,FACT,S-BVFED-001,"Bản cáo bạch BVFED Phụ lục 3 mục 2.4.1 — ""đối với cổ phiếu có giao dịch: lấy giá đóng cửa tại ngày có giao dịch gần nhất""",Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p72,Vận hành
T-BO-002,Back Office,NAV & Fund Accounting,Định giá tài sản,Định giá trái phiếu không có giao dịch bằng đường cong lãi suất VBMA,Sử dụng lãi suất chiết khấu từ đường cong lãi suất VBMA để tính giá trái phiếu Chính phủ không giao dịch gần ngày định giá,Trái phiếu Chính phủ trong danh mục + đường cong lãi suất VBMA/HNX,VBMA / HNX,Giá định giá trái phiếu đã tính lãi lũy kế,Bộ phận kế toán quỹ / tính NAV,,,Hàng ngày (ngày định giá),,,,,TT98/2020 và sổ tay định giá được Ban đại diện quỹ phê duyệt,FACT,S-BVFED-001,Bản cáo bạch BVFED Phụ lục 3 mục 2.4.2 — trái phiếu niêm yết; điều kiện ưu tiên lãi suất VBMA rồi HNX,Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p72,Vận hành
T-BO-003,Back Office,NAV & Fund Accounting,Định giá tài sản,Định giá tiền gửi có kỳ hạn theo vốn gốc cộng lãi dự thu,Tính giá trị tiền gửi kỳ hạn bằng vốn gốc cộng lãi dự thu theo hợp đồng tính đến ngày trước ngày định giá,Hợp đồng tiền gửi kỳ hạn + lịch trả lãi,Ngân hàng nhận tiền gửi,Giá trị định giá tiền gửi kỳ hạn,Bộ phận kế toán quỹ / tính NAV,,,Hàng ngày (ngày định giá),,,,,Quy định tại Điều lệ Quỹ và Sổ tay định giá,FACT,S-BVFED-001,Bản cáo bạch BVFED Phụ lục 3 mục 2.2,Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p72,Vận hành
T-BO-004,Back Office,NAV & Fund Accounting,Tính NAV,Tính giá trị tài sản ròng quỹ (NAV) và NAV trên một chứng chỉ quỹ (NAV/CCQ),Tính toán tổng tài sản và trừ đi tổng nợ phải trả để ra NAV; sau đó chia cho tổng số CCQ đang lưu hành,Báo cáo tổng tài sản và tổng nợ,Bộ phận định giá,Báo cáo NAV chi tiết,Ngân hàng giám sát,Kế toán Quỹ,Nhân viên định giá,Hàng ngày/tuần,,Hệ thống kế toán quỹ,,,Thông tư 98/2020/TT-BTC,REG,"S-JD-002,S-JD-001",Quy định cách tính NAV; JD Amber Capital: Định giá tài sản cho các quỹ theo sổ tay định giá; JD HDCap: Tính và đối chiếu NAV với ngân hàng lưu ký,Y,_raw/legal/thong-tu-98-2020.pdf; _raw/jd/ambercapital-ho-tro-van-hanh.html; _raw/jd/hdcap-van-hanh.html,Vận hành
T-BO-005,Back Office,NAV & Fund Accounting,Xác nhận NAV,Gửi NAV cho ngân hàng giám sát xác nhận bằng văn bản hoặc hệ thống điện tử,Sau khi tính NAV nội bộ xong; gửi kết quả cho ngân hàng giám sát để xác nhận trước khi công bố,NAV nội bộ đã tính,Bộ phận kế toán quỹ,Xác nhận NAV từ ngân hàng giám sát,Công ty quản lý quỹ,Kế toán Quỹ,Ngân hàng giám sát,Hàng ngày (ngày định giá),,Hệ thống thông tin điện tử ngân hàng giám sát,,Nếu bị định giá sai; ngân hàng giám sát thông báo và yêu cầu điều chỉnh trong 24 giờ,Điều lệ Quỹ BVFED; TT98/2020,FACT,"S-BVFED-001,S-JD-002,S-JD-001",Bản cáo bạch BVFED trang 32; JD Amber Capital: Phối hợp ngân hàng giám sát xác nhận NAV; JD HDCap: Tính và đối chiếu NAV với ngân hàng lưu ký,N,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p32; _raw/jd/ambercapital-ho-tro-van-hanh.html; _raw/jd/hdcap-van-hanh.html,Vận hành
T-BO-006,Back Office,NAV & Fund Accounting,Công bố NAV,Công bố NAV/CCQ cho nhà đầu tư trên trang web và phương tiện thông tin đại chúng trong vòng 3 ngày từ ngày định giá,Sau khi có xác nhận của ngân hàng giám sát; đăng NAV lên trang web công ty quản lý quỹ và đại lý phân phối,NAV đã được xác nhận,Công ty quản lý quỹ + Ngân hàng giám sát,Thông báo NAV công khai,Nhà đầu tư / Đại lý phân phối,,,Hàng ngày (ngày định giá) — trong vòng 3 ngày,,,,,Điều lệ Quỹ BVFED; TT98/2020 Điều 20 và quy định công bố thông tin,FACT,S-BVFED-001,"Bản cáo bạch BVFED trang 32 (log trang 32): ""trong thời hạn tối đa 03 ngày kể từ ngày định giá; sau khi có xác nhận của Ngân hàng Giám sát; giá trị tài sản ròng...sẽ được công bố""",Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p32,Vận hành
T-BO-007,Back Office,NAV & Fund Accounting,Nhận lệnh mua CCQ,Kiểm tra thông tin phiếu lệnh mua của nhà đầu tư trước thời điểm đóng sổ (14h45 ngày T-1),Xác nhận phiếu lệnh giao dịch đã điền đầy đủ và chính xác; ghi nhận đầy đủ thời điểm nhận lệnh và người nhận lệnh,Phiếu lệnh mua từ nhà đầu tư,Nhà đầu tư (qua đại lý phân phối),Lệnh mua hợp lệ đã xác nhận,Đại lý chuyển nhượng / Kế toán quỹ,,,Hàng ngày (ngày giao dịch CCQ),,,Y,Phải ghi nhận đầy đủ; chính xác; kịp thời; rõ ràng về thời điểm nhận lệnh — lệnh sau 14h45 bị hủy,TT98/2020; Phụ lục XVI mẫu phiếu lệnh,FACT,S-BVFED-001,Bản cáo bạch BVFED trang 36-37 (9.2.4.2); thời điểm đóng sổ lệnh là 14h45 ngày T-1,N,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p36,Vận hành
T-BO-008,Back Office,NAV & Fund Accounting,Xử lý lệnh mua CCQ,Xác nhận số lượng chứng chỉ quỹ bán cho nhà đầu tư theo công thức S = M*(1-phí)/V,Dựa trên số tiền hợp lệ nhận được và giá NAV/CCQ ngày giao dịch; tính toán số lượng CCQ phân bổ cho lệnh mua,Phiếu lệnh mua hợp lệ + giá NAV/CCQ,Bộ phận chăm sóc khách hàng / Định giá,Xác nhận số lượng CCQ phân bổ,Nhà đầu tư / Đại lý phân phối,Nhân viên vận hành quỹ / Kế toán Quỹ,,Hàng ngày/tuần,,Hệ thống quản lý đại lý phân phối,,,Thông tư 98/2020/TT-BTC,REG,S-JD-001,Quy định xử lý lệnh mua chứng chỉ quỹ; JD HDCapital: Thực hiện các giao dịch CCQ của nhà đầu tư theo quy trình,Y,_raw/legal/thong-tu-98-2020.pdf; _raw/jd/hdcap-van-hanh.html,Vận hành
T-BO-009,Back Office,NAV & Fund Accounting,Xử lý lệnh bán CCQ,Kiểm tra nhà đầu tư có đủ số lượng CCQ để bán trước khi thực hiện lệnh bán,Trước khi thực hiện lệnh bán; xác nhận số CCQ còn trên tài khoản nhà đầu tư đủ theo yêu cầu,Số CCQ trên tài khoản nhà đầu tư (từ sổ đăng ký / đại lý ký danh),Đại lý chuyển nhượng / sổ đăng ký,Xác nhận lệnh bán hợp lệ hoặc từ chối,Đại lý phân phối / Nhà đầu tư,Kế toán Quỹ,,Hàng ngày (ngày giao dịch CCQ),,,,,Điều lệ Quỹ BVFED 9.2.4.3(c),FACT,S-BVFED-001,"Bản cáo bạch BVFED trang 37 (9.2.4.3): ""Lệnh bán chỉ được thực hiện khi...bảo đảm Nhà đầu tư có đủ số lượng Chứng chỉ Quỹ để bán""",Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p37,Vận hành
T-BO-010,Back Office,NAV & Fund Accounting,Thanh toán lệnh bán,Thanh toán tiền về tài khoản nhà đầu tư trong vòng 5 ngày từ ngày giao dịch CCQ,Chuyển khoản vào tài khoản đã đăng ký của nhà đầu tư sau khi trừ chi phí chuyển tiền và thuế phát sinh,Số CCQ đã bán + NAV/CCQ + tỷ lệ phí mua lại,Ngân hàng giám sát (trích tiền từ tài khoản quỹ),Chuyển khoản tiền về tài khoản nhà đầu tư,Nhà đầu tư,Kế toán Quỹ,,Trong vòng 5 ngày kể từ ngày giao dịch CCQ,,,,,"Điều lệ Quỹ BVFED 9.2.4.3(h)(i): ""Thời hạn thanh toán không quá 05 ngày""",FACT,"S-BVFED-001,S-JD-001",Bản cáo bạch BVFED trang 38 (9.2.4.3 mục i); JD HDCap: Thực hiện thanh toán tiền giao dịch chứng chỉ quỹ,Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p38; _raw/jd/hdcap-van-hanh.html,Vận hành
T-BO-011,Back Office,NAV & Fund Accounting,Phân phối lợi nhuận,Chốt danh sách nhà đầu tư và thực hiện chi trả cổ tức bằng tiền theo nghị quyết Đại hội nhà đầu tư,Chốt danh sách nhà đầu tư vào ngày chốt; tính số tiền cổ tức từng nhà đầu tư theo tỷ lệ CCQ; chuyển khoản,Danh sách nhà đầu tư và số CCQ tại ngày chốt + tỷ lệ phân chia,Sổ đăng ký nhà đầu tư (đại lý chuyển nhượng),Tiền cổ tức được chuyển về tài khoản từng nhà đầu tư,Nhà đầu tư,Kế toán Quỹ,,Hàng năm (theo kế hoạch phân phối lợi nhuận),,,,,Điều lệ Quỹ BVFED 9.2.6; TT98/2020 Điều 7,FACT,S-BVFED-001,Bản cáo bạch BVFED trang 43 — Kế hoạch phân phối lợi nhuận 2017: chốt danh sách 16/04/2018; thực hiện 15/5/2018; chuyển khoản theo tài khoản NĐT,Y,_raw/company/baovietfund-bvfed-ban-cao-bach-2018-11.pdf#p43,Vận hành
